Thu Jul 04 22:09:48 2013

pointer cache: no
random replacement sheme for pointer cache
method:none
pcm size(line):16777216
addresses have been narrowed.
include extra wear-leveling write
cell lifetime: 100000000
max depth: 0
access count: 100000001
total write count: 100000001
total write count(without remapping): 0
percent(without/with remapping): 0.0000
wear-out count: 0
exceeded write count: 0
average access delay: 50 ns
normal space : backup space = 16777216 : 0
backup space percent:0.00
wear-out percent: 0.0000

count interval: 1
footprint
84608,997000
112583,7976
112584,27916
112585,31904
112586,15952
112587,21934
112588,9970
112589,31904
112590,31904
112591,29910
112592,29910
112593,31904
112594,31904
112595,31904
112596,31904
112597,21934
112598,31904
112599,15952
112602,29910
112603,31904
112606,13958
112608,3988
112609,3988
112610,7976
112611,9970
112612,13958
112613,3988
112614,23928
112615,31904
112616,31904
112617,25922
112618,19940
112619,19940
112620,31904
112621,31904
112622,27916
112623,9970
112624,17946
112625,17946
112626,9970
112627,1994
112628,15952
112629,23928
112630,31904
112631,9970
112632,23928
112633,13958
112634,11964
112635,29910
112636,31904
112637,15952
112638,9970
112639,15952
112640,31904
112641,31904
112642,29910
112643,31904
112644,31904
112645,29910
112646,17946
112647,3988
112648,15952
112649,25922
112650,11964
112651,5982
112652,15952
112653,17946
112654,1994
112655,5982
112656,29910
112657,25922
112658,27916
112659,17946
112660,21934
112661,27916
112662,21934
112663,25922
112664,27916
112665,21934
112666,25922
112667,27916
112668,21934
112669,25922
112670,27916
112671,21934
112672,27916
112673,11964
112674,25922
112675,27916
112676,21934
112677,25922
112678,27916
112679,21934
112680,25922
112681,27916
112682,21934
112683,25922
112684,27916
112685,21934
112686,21934
112687,7976
112688,5982
112689,7976
112690,7976
112691,7976
112692,27916
112693,21934
112694,5982
112695,7976
112697,5982
112698,29910
112699,31904
112700,31904
112701,31904
112702,31904
112703,11964
112704,17946
112707,3988
112710,11964
112711,11964
112712,11964
112713,11964
112714,11964
112715,11964
112716,29909
112717,11964
112718,29910
112719,31904
112720,271184
112721,5982
112722,5981
112723,781631
112724,33892
112725,37886
112726,11964
112727,11963
112730,1994
112733,1994
112736,3988
112737,3988
112738,3988
112739,1994
112740,3988
112741,13958
112742,31904
112743,31904
112744,31904
112745,31904
112746,31904
112747,31904
112748,31904
112749,31904
112750,31904
112751,31904
112752,31904
112753,35892
112754,47856
112755,31904
112756,31904
112757,31904
112758,31904
112759,31904
112760,31904
112761,31904
112762,31904
112763,31904
112764,31904
112765,31904
112766,31904
112767,31904
112770,332985
112771,15952
112772,323028
112773,183448
112774,31904
112775,31904
112776,31904
112777,31904
112778,31904
112779,31904
112780,31904
112781,31904
112782,31904
112783,31904
112784,31904
112785,31904
112786,31904
112787,31904
112788,31904
112789,15952
112790,15952
112810,1994
112811,3988
112832,21934
112833,13958
112904,3988
112908,3988
112909,5982
112911,17946
112912,31904
112913,31904
112914,25922
116091,1994
116092,7976
116093,5982
116094,1994
116095,17946
116096,33896
116097,23928
118426,79760
118427,45862
118428,129608
118429,31904
118430,31904
118431,31904
118432,33898
118433,31904
118434,37886
118435,33898
118436,33898
118437,31904
118438,31904
118439,31904
118440,31904
118441,31904
118442,31904
118443,31904
118444,27916
118445,3988
118706,17946
118707,5982
118712,23928
118713,15952
118714,7976
118715,23928
118719,11964
118720,15952
118729,588104
118730,27916
118731,15952
118732,9970
118733,1994
118734,3988
118735,13958
118736,63805
118738,49849
118739,3988
118741,27916
118742,55832
118743,23928
118744,183448
118745,49850
118746,17946
118747,9970
118748,5982
118750,11964
118751,49847
118752,21934
118753,29909
118754,9970
118755,15952
118756,21934
118757,29910
118758,5982
118759,3988
118760,3988
118762,17946
118763,27914
118764,5982
118765,1993
118766,47856
118767,53838
118768,31904
118769,27916
118783,9970
122176,31904
122177,19940
122178,9970
122179,1994
122180,3988
122181,23928
122182,45859
122183,15952
122184,61813
122185,35892
122186,31904
122187,21934
122188,9970
122189,9970
122190,3988
122191,15952
122192,43865
122193,19940
122194,83747
122195,19940
122196,37886
122197,21934
122198,19940
122199,13958
122200,3988
122201,11964
122202,251239
122203,17946
122204,185441
122205,534392
122206,33898
122207,27916
122208,17946
122209,23928
122210,5982
122211,21934
122212,25922
122213,15952
122214,23928
122215,23928
122216,27916
122217,31904
122218,19940
122219,21934
122220,23928
122221,23928
122222,23928
122223,23928
122224,27916
122225,13958
122226,23928
122227,5982
143269,85742
143270,233298
143271,446656
143272,253238
143273,500494
143274,251244
143275,462608
143276,1653026
143277,2418722
143278,971078
143279,492518
143280,901288
143281,644062
143282,243268
143283,1274166
143284,3128586
143285,2743744
143286,2368872
143287,4488494
143288,6125568
143289,7321968
143290,2408752
143291,4779618
143292,524398
143293,2661895
143294,3794512
143295,3206317
143296,2121609
143297,1232255
143298,1397788
143299,739724
143300,633996
143301,968876
143302,1265980
143303,977002
143304,486536
143305,185442
143306,145562
143307,480554
143308,14077640
143309,789624
143310,3164478
143311,151544
143312,141574
143313,303088
143314,209370
143315,87736
145727,23928
145728,33898
145729,39880
145730,37886
145731,35891
145732,15952
145733,33897
145734,31904
145735,31904
145736,31904
145737,31904
145738,31904
145739,31904
145740,31904
145741,31904
145742,31904
145743,31904
145744,31904
145745,31904
145746,31904
145747,31904
145748,31904
145749,31904
145750,31904
145751,31904
145752,31904
145753,31904
145754,31904
145755,31904
145756,31904
145757,31904
145758,31904
145759,31904
145760,31904
145761,31904
145762,31904
145763,31904
145764,31904
145765,31904
145766,31904
145767,31904
145768,31904
145769,31904
145770,31904
145771,31904
145772,31904
145773,31904
145774,31904
145775,31904
145776,31904
145777,31904
145778,31904
145779,31904
145780,31904
145781,31904
145782,31904
145783,31904
145784,31904
145785,31904
145786,31904
145787,31904
145788,31904
145789,31904
145790,31904
145791,31904
145861,3988
145862,11964
2102209,1994
2102211,7976
2102212,49850
2102213,11964
